Today''s Date,06/26/2020,Date of Test:,06/24/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_211_176A.062,Procedure,GS_211_176A.000,,SCap,1,C Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,0.,0.000000,0.00,0.00,1.19,R,0,6/24/2020 14:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,1,0,0.016666667,0.000000,0.00,0.00,1.19,R,1,6/24/2020 14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,1,0,0.033333333,0.000000,0.00,0.00,1.19,R,1,6/24/2020 14:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,1,0,0.05,0.000000,0.00,0.00,1.19,R,1,6/24/2020 14:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,1,0,0.066666667,0.000000,0.00,0.00,1.19,R,1,6/24/2020 14:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,1,0,0.083333333,0.000000,0.00,0.00,1.19,R,129,6/24/2020 14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,2,0,0.000008333,0.000001,0.00,0.34,1.14,D,0,6/24/2020 14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,2,0,0.016675,0.005667,0.00,0.34,1.14,D,1,6/24/2020 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,2,0,0.032486111,0.011042,0.00,0.34,1.13,D,5,6/24/2020 14:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,2,0,0.048761111,0.016574,0.00,0.34,1.12,D,5,6/24/2020 14:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,2,0,0.065427778,0.022240,0.00,0.34,1.11,D,1,6/24/2020 14:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,2,0,0.082094444,0.027905,0.00,0.34,1.10,D,1,6/24/2020 14:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,2,0,0.098761111,0.033571,0.00,0.34,1.09,D,1,6/24/2020 14:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,2,0,0.115427778,0.039237,0.00,0.34,1.08,D,1,6/24/2020 14:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,2,0,0.132094444,0.044903,0.00,0.34,1.07,D,1,6/24/2020 14:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,2,0,0.148761111,0.050568,0.00,0.34,1.07,D,1,6/24/2020 14:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,2,0,0.165427778,0.056234,0.00,0.34,1.06,D,1,6/24/2020 14:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,2,0,0.182094444,0.061900,0.00,0.34,1.05,D,1,6/24/2020 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,2,0,0.198761111,0.067565,0.00,0.34,1.04,D,1,6/24/2020 14:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,2,0,0.215427778,0.073231,0.00,0.34,1.03,D,1,6/24/2020 14:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,2,0,0.232094444,0.078897,0.00,0.34,1.02,D,1,6/24/2020 14:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,2,0,0.248761111,0.084562,0.00,0.34,1.02,D,1,6/24/2020 14:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,2,0,0.265427778,0.090228,0.00,0.34,1.01,D,1,6/24/2020 14:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,2,0,0.282094444,0.095894,0.00,0.34,1.00,D,1,6/24/2020 14:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,2,0,0.298761111,0.101559,0.00,0.34,1.00,D,1,6/24/2020 14:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,2,0,0.315427778,0.107225,0.00,0.34,0.99,D,1,6/24/2020 14:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,2,0,0.332094444,0.112891,0.00,0.34,0.99,D,1,6/24/2020 14:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,2,0,0.348761111,0.118556,0.00,0.34,0.99,D,1,6/24/2020 14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,2,0,0.365427778,0.124222,0.00,0.34,0.98,D,1,6/24/2020 14:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,2,0,0.382094444,0.129888,0.00,0.34,0.98,D,1,6/24/2020 14:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,2,0,0.398761111,0.135553,0.00,0.34,0.97,D,1,6/24/2020 14:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,2,0,0.415427778,0.141219,0.00,0.34,0.97,D,1,6/24/2020 14:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,2,1,0.432094444,0.146885,0.00,0.34,0.96,D,1,6/24/2020 14:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,2,1,0.448761111,0.152550,0.00,0.34,0.96,D,1,6/24/2020 14:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,2,1,0.465427778,0.158216,0.00,0.34,0.96,D,1,6/24/2020 14:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,2,1,0.482094444,0.163882,0.00,0.34,0.95,D,1,6/24/2020 14:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,2,1,0.498761111,0.169548,0.00,0.34,0.95,D,1,6/24/2020 14:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,2,1,0.515427778,0.175213,0.00,0.34,0.95,D,1,6/24/2020 14:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,2,1,0.532094444,0.180879,0.00,0.34,0.94,D,1,6/24/2020 14:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,2,1,0.548761111,0.186545,0.00,0.34,0.94,D,1,6/24/2020 14:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,2,1,0.565427778,0.192210,0.00,0.34,0.94,D,1,6/24/2020 14:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,2,1,0.582094444,0.197876,0.00,0.34,0.94,D,1,6/24/2020 14:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,2,1,0.598761111,0.203542,0.00,0.34,0.93,D,1,6/24/2020 14:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,2,1,0.615427778,0.209207,0.00,0.34,0.93,D,1,6/24/2020 14:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,2,1,0.632094444,0.214873,0.00,0.34,0.93,D,1,6/24/2020 14:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,2,1,0.648761111,0.220539,0.00,0.34,0.93,D,1,6/24/2020 14:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,2,1,0.665427778,0.226204,0.00,0.34,0.93,D,1,6/24/2020 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,2,1,0.682094444,0.231870,0.00,0.34,0.92,D,1,6/24/2020 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,2,1,0.698761111,0.237536,0.00,0.34,0.92,D,1,6/24/2020 15:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,2,1,0.715427778,0.243201,0.00,0.34,0.92,D,1,6/24/2020 15:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,2,1,0.732094444,0.248867,0.00,0.34,0.92,D,1,6/24/2020 15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,2,1,0.748761111,0.254533,0.00,0.34,0.92,D,1,6/24/2020 15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,2,1,0.765427778,0.260198,0.00,0.34,0.91,D,1,6/24/2020 15:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,2,1,0.782094444,0.265864,0.00,0.34,0.91,D,1,6/24/2020 15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,2,1,0.798761111,0.271530,0.00,0.34,0.91,D,1,6/24/2020 15:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,2,1,0.815427778,0.277195,0.00,0.34,0.91,D,1,6/24/2020 15:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,2,1,0.832094444,0.282861,0.00,0.34,0.91,D,1,6/24/2020 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,2,1,0.848761111,0.288527,0.00,0.34,0.90,D,1,6/24/2020 15:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,2,1,0.865427778,0.294192,0.00,0.34,0.90,D,1,6/24/2020 15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,2,1,0.882094444,0.299858,0.00,0.34,0.90,D,1,6/24/2020 15:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,2,1,0.898761111,0.305524,0.00,0.34,0.90,D,1,6/24/2020 15:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,2,1,0.915427778,0.311190,0.00,0.34,0.90,D,1,6/24/2020 15:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,2,1,0.932094444,0.316855,0.00,0.34,0.90,D,1,6/24/2020 15:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,2,1,0.948761111,0.322521,0.00,0.34,0.90,D,1,6/24/2020 15:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,2,1,0.965427778,0.328187,0.00,0.34,0.89,D,1,6/24/2020 15:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,2,1,0.982094444,0.333852,0.00,0.34,0.89,D,1,6/24/2020 15:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,2,1,0.998761111,0.339518,0.00,0.34,0.89,D,1,6/24/2020 15:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,2,1,1.015427778,0.345184,0.00,0.34,0.89,D,1,6/24/2020 15:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,2,1,1.032094444,0.350849,0.00,0.34,0.89,D,1,6/24/2020 15:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,2,1,1.048761111,0.356515,0.00,0.34,0.89,D,1,6/24/2020 15:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,2,1,1.065427778,0.362181,0.00,0.34,0.89,D,1,6/24/2020 15:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,2,1,1.082094444,0.367846,0.00,0.34,0.88,D,1,6/24/2020 15:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,2,1,1.098761111,0.373512,0.00,0.34,0.88,D,1,6/24/2020 15:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,2,1,1.115427778,0.379178,0.00,0.34,0.88,D,1,6/24/2020 15:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,2,1,1.132094444,0.384843,0.00,0.34,0.88,D,1,6/24/2020 15:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,2,1,1.148761111,0.390509,0.00,0.34,0.88,D,1,6/24/2020 15:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,2,1,1.165427778,0.396175,0.00,0.34,0.88,D,1,6/24/2020 15:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,2,1,1.182094444,0.401840,0.00,0.34,0.88,D,1,6/24/2020 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,2,1,1.198761111,0.407506,0.00,0.34,0.88,D,1,6/24/2020 15:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,2,1,1.215427778,0.413172,0.00,0.34,0.88,D,1,6/24/2020 15:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,2,1,1.232094444,0.418837,0.00,0.34,0.87,D,1,6/24/2020 15:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,2,1,1.248761111,0.424503,0.00,0.34,0.87,D,1,6/24/2020 15:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,2,1,1.265427778,0.430169,0.00,0.34,0.87,D,1,6/24/2020 15:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,2,1,1.282094444,0.435835,0.00,0.34,0.87,D,1,6/24/2020 15:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,2,1,1.298761111,0.441500,0.00,0.34,0.87,D,1,6/24/2020 15:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,2,1,1.315427778,0.447166,0.00,0.34,0.87,D,1,6/24/2020 15:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,2,1,1.332094444,0.452832,0.00,0.34,0.87,D,1,6/24/2020 15:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,2,1,1.348761111,0.458497,0.00,0.34,0.87,D,1,6/24/2020 15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,2,1,1.365427778,0.464163,0.00,0.34,0.87,D,1,6/24/2020 15:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,2,1,1.382094444,0.469829,0.00,0.34,0.87,D,1,6/24/2020 15:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,2,1,1.398761111,0.475494,0.00,0.34,0.87,D,1,6/24/2020 15:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,2,1,1.415427778,0.481160,0.00,0.34,0.86,D,1,6/24/2020 15:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,2,2,1.432094444,0.486826,0.00,0.34,0.86,D,1,6/24/2020 15:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,2,2,1.448761111,0.492491,0.00,0.34,0.86,D,1,6/24/2020 15:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,2,2,1.465427778,0.498157,0.00,0.34,0.86,D,1,6/24/2020 15:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,2,2,1.482094444,0.503823,0.00,0.34,0.86,D,1,6/24/2020 15:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,2,2,1.498761111,0.509488,0.00,0.34,0.86,D,1,6/24/2020 15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,2,2,1.515427778,0.515154,0.00,0.34,0.86,D,1,6/24/2020 15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,2,2,1.532094444,0.520820,0.00,0.34,0.86,D,1,6/24/2020 15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,2,2,1.548761111,0.526485,0.00,0.34,0.86,D,1,6/24/2020 15:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,2,2,1.565427778,0.532151,0.00,0.34,0.86,D,1,6/24/2020 15:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,2,2,1.582094444,0.537817,0.00,0.34,0.86,D,1,6/24/2020 15:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,2,2,1.598761111,0.543482,0.00,0.34,0.86,D,1,6/24/2020 15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,2,2,1.615427778,0.549148,0.00,0.34,0.85,D,1,6/24/2020 15:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,2,2,1.632094444,0.554814,0.00,0.34,0.85,D,1,6/24/2020 15:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,2,2,1.648761111,0.560479,0.00,0.34,0.85,D,1,6/24/2020 15:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,2,2,1.665427778,0.566145,0.00,0.34,0.85,D,1,6/24/2020 15:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,2,2,1.682094444,0.571811,0.00,0.34,0.85,D,1,6/24/2020 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,2,2,1.698761111,0.577477,0.00,0.34,0.85,D,1,6/24/2020 16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,2,2,1.715427778,0.583142,0.00,0.34,0.85,D,1,6/24/2020 16:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,2,2,1.732094444,0.588808,0.00,0.34,0.85,D,1,6/24/2020 16:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,2,2,1.748761111,0.594474,0.00,0.34,0.85,D,1,6/24/2020 16:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,2,2,1.765427778,0.600139,0.00,0.34,0.85,D,1,6/24/2020 16:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,2,2,1.782094444,0.605805,0.00,0.34,0.85,D,1,6/24/2020 16:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,2,2,1.798761111,0.611471,0.00,0.34,0.85,D,1,6/24/2020 16:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0,2,2,1.815427778,0.617136,0.00,0.34,0.85,D,1,6/24/2020 16:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,2,2,1.832094444,0.622802,0.00,0.34,0.84,D,1,6/24/2020 16:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0,2,2,1.848761111,0.628468,0.00,0.34,0.84,D,1,6/24/2020 16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,2,2,1.865427778,0.634133,0.00,0.34,0.84,D,1,6/24/2020 16:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0,2,2,1.882094444,0.639799,0.00,0.34,0.84,D,1,6/24/2020 16:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0,2,2,1.898761111,0.645465,0.00,0.34,0.84,D,1,6/24/2020 16:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,2,2,1.915427778,0.651130,0.00,0.34,0.84,D,1,6/24/2020 16:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,2,2,1.932094444,0.656796,0.00,0.34,0.84,D,1,6/24/2020 16:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,2,2,1.948761111,0.662462,0.00,0.34,0.84,D,1,6/24/2020 16:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,2,2,1.965427778,0.668127,0.00,0.34,0.84,D,1,6/24/2020 16:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0,2,2,1.982094444,0.673793,0.00,0.34,0.84,D,1,6/24/2020 16:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,2,2,1.998761111,0.679459,0.00,0.34,0.84,D,1,6/24/2020 16:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,2,2,2.015427778,0.685124,0.00,0.34,0.84,D,1,6/24/2020 16:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0,2,2,2.032094444,0.690790,0.00,0.34,0.84,D,1,6/24/2020 16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,2,2,2.048761111,0.696456,0.00,0.34,0.84,D,1,6/24/2020 16:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0,2,2,2.065427778,0.702121,0.00,0.34,0.84,D,1,6/24/2020 16:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0,2,2,2.082094444,0.707787,0.00,0.34,0.83,D,1,6/24/2020 16:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0,2,2,2.098761111,0.713453,0.00,0.34,0.83,D,1,6/24/2020 16:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0,2,2,2.115427778,0.719119,0.00,0.34,0.83,D,1,6/24/2020 16:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0,2,2,2.132094444,0.724784,0.00,0.34,0.83,D,1,6/24/2020 16:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0,2,2,2.148761111,0.730450,0.00,0.34,0.83,D,1,6/24/2020 16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
