Today''s Date,06/26/2020,Date of Test:,06/24/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_211_176A.062,Procedure,GS_211_176A.000,,SCap,1,C Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0,2,2,2.165427778,0.736116,0.00,0.34,0.83,D,1,6/24/2020 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0,2,2,2.182094444,0.741781,0.00,0.34,0.83,D,1,6/24/2020 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,2,2,2.198761111,0.747447,0.00,0.34,0.83,D,1,6/24/2020 16:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0,2,2,2.215427778,0.753113,0.00,0.34,0.83,D,1,6/24/2020 16:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0,2,2,2.232094444,0.758778,0.00,0.34,0.83,D,1,6/24/2020 16:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,0,2,2,2.248761111,0.764444,0.00,0.34,0.83,D,1,6/24/2020 16:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,2,2,2.265427778,0.770110,0.00,0.34,0.83,D,1,6/24/2020 16:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0,2,2,2.282094444,0.775775,0.00,0.34,0.83,D,1,6/24/2020 16:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0,2,2,2.298761111,0.781441,0.00,0.34,0.83,D,1,6/24/2020 16:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0,2,2,2.315427778,0.787107,0.00,0.34,0.82,D,1,6/24/2020 16:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0,2,2,2.332094444,0.792772,0.00,0.34,0.82,D,1,6/24/2020 16:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0,2,2,2.348761111,0.798438,0.00,0.34,0.82,D,1,6/24/2020 16:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,2,2,2.365427778,0.804104,0.00,0.34,0.82,D,1,6/24/2020 16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0,2,2,2.382094444,0.809769,0.00,0.34,0.82,D,1,6/24/2020 16:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0,2,2,2.398761111,0.815435,0.00,0.34,0.82,D,1,6/24/2020 16:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0,2,2,2.415427778,0.821101,0.00,0.34,0.82,D,1,6/24/2020 16:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,2,3,2.432094444,0.826766,0.00,0.34,0.82,D,1,6/24/2020 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,2,3,2.448761111,0.832432,0.00,0.34,0.82,D,1,6/24/2020 16:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0,2,3,2.465427778,0.838098,0.00,0.34,0.82,D,1,6/24/2020 16:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0,2,3,2.482094444,0.843763,0.00,0.34,0.82,D,1,6/24/2020 16:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0,2,3,2.498761111,0.849429,0.00,0.34,0.82,D,1,6/24/2020 16:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,2,3,2.515427778,0.855095,0.00,0.34,0.82,D,1,6/24/2020 16:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0,2,3,2.532094444,0.860761,0.00,0.34,0.81,D,1,6/24/2020 16:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0,2,3,2.548761111,0.866426,0.00,0.34,0.81,D,1,6/24/2020 16:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0,2,3,2.565427778,0.872092,0.00,0.34,0.81,D,1,6/24/2020 16:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,2,3,2.582094444,0.877758,0.00,0.34,0.81,D,1,6/24/2020 16:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0,2,3,2.598761111,0.883423,0.00,0.34,0.81,D,1,6/24/2020 16:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,2,3,2.615427778,0.889089,0.00,0.34,0.81,D,1,6/24/2020 16:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0,2,3,2.632094444,0.894755,0.00,0.34,0.81,D,1,6/24/2020 16:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,2,3,2.648761111,0.900420,0.00,0.34,0.81,D,1,6/24/2020 16:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0,2,3,2.665427778,0.906086,0.00,0.34,0.81,D,1,6/24/2020 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0,2,3,2.682094444,0.911752,0.00,0.34,0.81,D,1,6/24/2020 17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0,2,3,2.698761111,0.917417,0.00,0.34,0.81,D,1,6/24/2020 17:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0,2,3,2.715427778,0.923083,0.00,0.34,0.81,D,1,6/24/2020 17:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0,2,3,2.732094444,0.928749,0.00,0.34,0.80,D,1,6/24/2020 17:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0,2,3,2.748761111,0.934414,0.00,0.34,0.80,D,1,6/24/2020 17:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0,2,3,2.765427778,0.940080,0.00,0.34,0.80,D,1,6/24/2020 17:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0,2,3,2.782094444,0.945746,0.00,0.34,0.80,D,1,6/24/2020 17:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0,2,3,2.798761111,0.951411,0.00,0.34,0.80,D,1,6/24/2020 17:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0,2,3,2.815427778,0.957077,0.00,0.34,0.80,D,1,6/24/2020 17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0,2,3,2.832094444,0.962743,0.00,0.34,0.80,D,1,6/24/2020 17:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0,2,3,2.848761111,0.968408,0.00,0.34,0.80,D,1,6/24/2020 17:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0,2,3,2.865427778,0.974074,0.00,0.34,0.80,D,1,6/24/2020 17:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0,2,3,2.882094444,0.979740,0.00,0.34,0.80,D,1,6/24/2020 17:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0,2,3,2.898761111,0.985406,0.00,0.34,0.79,D,1,6/24/2020 17:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,0,2,3,2.915427778,0.991071,0.00,0.34,0.79,D,1,6/24/2020 17:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,0,2,3,2.932094444,0.996737,0.00,0.34,0.79,D,1,6/24/2020 17:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,0,2,3,2.948761111,1.002403,0.00,0.34,0.79,D,1,6/24/2020 17:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0,2,3,2.965427778,1.008068,0.00,0.34,0.79,D,1,6/24/2020 17:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0,2,3,2.982094444,1.013734,0.00,0.34,0.79,D,1,6/24/2020 17:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0,2,3,2.998761111,1.019400,0.00,0.34,0.79,D,1,6/24/2020 17:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0,2,3,3.015427778,1.025065,0.00,0.34,0.79,D,1,6/24/2020 17:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0,2,3,3.032094444,1.030731,0.00,0.34,0.79,D,1,6/24/2020 17:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0,2,3,3.048761111,1.036397,0.00,0.34,0.79,D,1,6/24/2020 17:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0,2,3,3.065427778,1.042062,0.00,0.34,0.78,D,1,6/24/2020 17:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,0,2,3,3.082094444,1.047728,0.00,0.34,0.78,D,1,6/24/2020 17:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,0,2,3,3.098761111,1.053394,0.00,0.34,0.78,D,1,6/24/2020 17:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,0,2,3,3.115427778,1.059059,0.00,0.34,0.78,D,1,6/24/2020 17:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0,2,3,3.132094444,1.064725,0.00,0.34,0.78,D,1,6/24/2020 17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0,2,3,3.148761111,1.070391,0.00,0.34,0.78,D,1,6/24/2020 17:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,0,2,3,3.165427778,1.076056,0.00,0.34,0.78,D,1,6/24/2020 17:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0,2,3,3.182094444,1.081722,0.00,0.34,0.78,D,1,6/24/2020 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,2,3,3.198761111,1.087388,0.00,0.34,0.78,D,1,6/24/2020 17:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0,2,3,3.215427778,1.093053,0.00,0.34,0.77,D,1,6/24/2020 17:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,0,2,3,3.232094444,1.098719,0.00,0.34,0.77,D,1,6/24/2020 17:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,0,2,3,3.248761111,1.104385,0.00,0.34,0.77,D,1,6/24/2020 17:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0,2,3,3.265427778,1.110051,0.00,0.34,0.77,D,1,6/24/2020 17:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0,2,3,3.282094444,1.115716,0.00,0.34,0.77,D,1,6/24/2020 17:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0,2,3,3.298761111,1.121382,0.00,0.34,0.77,D,1,6/24/2020 17:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0,2,3,3.315427778,1.127048,0.00,0.34,0.77,D,1,6/24/2020 17:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0,2,3,3.332094444,1.132713,0.00,0.34,0.77,D,1,6/24/2020 17:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0,2,3,3.348761111,1.138379,0.00,0.34,0.76,D,1,6/24/2020 17:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,0,2,3,3.365427778,1.144045,0.00,0.34,0.76,D,1,6/24/2020 17:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0,2,3,3.382094444,1.149710,0.00,0.34,0.76,D,1,6/24/2020 17:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,0,2,3,3.398761111,1.155376,0.00,0.34,0.76,D,1,6/24/2020 17:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0,2,3,3.415427778,1.161042,0.00,0.34,0.76,D,1,6/24/2020 17:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,0,2,4,3.432094444,1.166707,0.00,0.34,0.76,D,1,6/24/2020 17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0,2,4,3.448761111,1.172373,0.00,0.34,0.76,D,1,6/24/2020 17:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0,2,4,3.465427778,1.178039,0.00,0.34,0.75,D,1,6/24/2020 17:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0,2,4,3.482094444,1.183704,0.00,0.34,0.75,D,1,6/24/2020 17:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,0,2,4,3.498761111,1.189370,0.00,0.34,0.75,D,1,6/24/2020 17:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0,2,4,3.515427778,1.195036,0.00,0.34,0.75,D,1,6/24/2020 17:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0,2,4,3.532094444,1.200701,0.00,0.34,0.75,D,1,6/24/2020 17:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0,2,4,3.548761111,1.206367,0.00,0.34,0.75,D,1,6/24/2020 17:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,0,2,4,3.565427778,1.212033,0.00,0.34,0.75,D,1,6/24/2020 17:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,0,2,4,3.582094444,1.217698,0.00,0.34,0.74,D,1,6/24/2020 17:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,0,2,4,3.598761111,1.223364,0.00,0.34,0.74,D,1,6/24/2020 17:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,0,2,4,3.615427778,1.229030,0.00,0.34,0.74,D,1,6/24/2020 17:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,0,2,4,3.632094444,1.234696,0.00,0.34,0.74,D,1,6/24/2020 17:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,0,2,4,3.648761111,1.240361,0.00,0.34,0.74,D,1,6/24/2020 17:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0,2,4,3.665427778,1.246027,0.00,0.34,0.74,D,1,6/24/2020 17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,0,2,4,3.682094444,1.251693,0.00,0.34,0.74,D,1,6/24/2020 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,0,2,4,3.698761111,1.257358,0.00,0.34,0.73,D,1,6/24/2020 18:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,0,2,4,3.715427778,1.263024,0.00,0.34,0.73,D,1,6/24/2020 18:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,0,2,4,3.732094444,1.268690,0.00,0.34,0.73,D,1,6/24/2020 18:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,0,2,4,3.748761111,1.274355,0.00,0.34,0.73,D,1,6/24/2020 18:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,0,2,4,3.765427778,1.280021,0.00,0.34,0.73,D,1,6/24/2020 18:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,0,2,4,3.782094444,1.285687,0.00,0.34,0.73,D,1,6/24/2020 18:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,0,2,4,3.798761111,1.291352,0.00,0.34,0.72,D,1,6/24/2020 18:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,0,2,4,3.815427778,1.297018,0.00,0.34,0.72,D,1,6/24/2020 18:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,0,2,4,3.832094444,1.302684,0.00,0.34,0.72,D,1,6/24/2020 18:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,0,2,4,3.848761111,1.308349,0.00,0.34,0.72,D,1,6/24/2020 18:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,0,2,4,3.865427778,1.314015,0.00,0.34,0.72,D,1,6/24/2020 18:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,0,2,4,3.882094444,1.319681,0.00,0.34,0.72,D,1,6/24/2020 18:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,0,2,4,3.898761111,1.325346,0.00,0.34,0.72,D,1,6/24/2020 18:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,0,2,4,3.915427778,1.331012,0.00,0.34,0.71,D,1,6/24/2020 18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,0,2,4,3.932094444,1.336678,0.00,0.34,0.71,D,1,6/24/2020 18:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,0,2,4,3.948761111,1.342344,0.00,0.34,0.71,D,1,6/24/2020 18:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,0,2,4,3.965427778,1.348009,0.00,0.34,0.71,D,1,6/24/2020 18:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,0,2,4,3.982094444,1.353675,0.00,0.34,0.71,D,1,6/24/2020 18:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,0,2,4,3.998761111,1.359341,0.00,0.34,0.71,D,1,6/24/2020 18:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,0,2,4,4.,1.359762,0.00,0.34,0.71,D,129,6/24/2020 18:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,0,3,4,0.000002778,0.000000,0.00,0.00,0.72,R,0,6/24/2020 18:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0,3,5,0.500002778,0.000000,0.00,0.00,0.74,R,1,6/24/2020 18:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,0,3,5,1.000002778,0.000000,0.00,0.00,0.74,R,1,6/24/2020 19:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,0,3,6,1.500002778,0.000000,0.00,0.00,0.74,R,1,6/24/2020 19:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,0,3,6,2.000002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 20:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,0,3,7,2.500002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 20:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,0,3,7,3.000002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 21:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0,3,8,3.500002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 21:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,0,3,8,4.000002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 22:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,0,3,9,4.500002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 22:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,0,3,9,5.000002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 23:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,0,3,10,5.500002778,0.000000,0.00,0.00,0.75,R,1,6/24/2020 23:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,0,3,10,6.000002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 0:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,0,3,11,6.500002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 0:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,0,3,11,7.000002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 1:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,0,3,12,7.500002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 1:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,0,3,12,8.000002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 2:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,0,3,13,8.500002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 2:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,0,3,13,9.000002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 3:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,0,3,14,9.500002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 3:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,0,3,14,10.000002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 4:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,0,3,15,10.500002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 4:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,0,3,15,11.000002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 5:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,0,3,16,11.500002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 5:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,0,3,16,12.000002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 6:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,0,3,17,12.500002778,0.000000,0.00,0.00,0.76,R,1,6/25/2020 6:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,0,3,17,13.,0.000000,0.00,0.00,0.76,R,129,6/25/2020 7:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,0,4,17,13.,0.000000,0.00,0.00,0.76,O,193,6/25/2020 7:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
